"B1_x","B1_y","N_x","N_y","B_x","B_y"
3.06,0.6290849673,3.06,1.500606061,3.06,0.9440087146,
3.07,0.6270358306,3.07,1.502727273,3.07,0.9422638436,
3.08,0.625,3.08,1.504848485,3.08,0.940530303,
3.09,0.6229773463,3.09,1.506969697,3.09,0.9388079827,
3.1,0.6209677419,3.1,1.509090909,3.1,0.9370967742,
3.11,0.6189710611,3.11,1.511212121,3.11,0.9353965702,
3.12,0.6169871795,3.12,1.513333333,3.12,0.933707265,
3.13,0.6150159744,3.13,1.515454545,3.13,0.932028754,
3.14,0.6130573248,3.14,1.517575758,3.14,0.9303609342,
3.15,0.6111111111,3.15,1.51969697,3.15,0.9287037037,
3.16,0.6091772152,3.16,1.521818182,3.16,0.927056962,
3.17,0.6072555205,3.17,1.523939394,3.17,0.9254206099,
3.18,0.6053459119,3.18,1.526060606,3.18,0.9237945493,
3.19,0.6034482759,3.19,1.528181818,3.19,0.9221786834,
3.2,0.6015625,3.2,1.53030303,3.2,0.9205729167,
3.21,0.5996884735,3.21,1.532424242,3.21,0.9189771547,
3.22,0.597826087,3.22,1.534545455,3.22,0.9173913043,
3.23,0.5959752322,3.23,1.536666667,3.23,0.9158152735,
3.24,0.5941358025,3.24,1.538787879,3.24,0.9142489712,
3.25,0.5923076923,3.25,1.540909091,3.25,0.9126923077,
3.26,0.5904907975,3.26,1.543030303,3.26,0.9111451943,
3.27,0.5886850153,3.27,1.545151515,3.27,0.9096075433,
3.28,0.5868902439,3.28,1.547272727,3.28,0.9080792683,
3.29,0.585106383,3.29,1.549393939,3.29,0.9065602837,
3.3,0.5833333333,3.3,1.551515152,3.3,0.9050505051,
3.31,0.581570997,3.31,1.553636364,3.31,0.9035498489,
3.32,0.5798192771,3.32,1.555757576,3.32,0.9020582329,
3.33,0.5780780781,3.33,1.557878788,3.33,0.9005755756,
3.34,0.5763473054,3.34,1.56,3.34,0.8991017964,
3.35,0.5746268657,3.35,1.562121212,3.35,0.8976368159,
3.36,0.5729166667,3.36,1.564242424,3.36,0.8961805556,
3.37,0.5712166172,3.37,1.566363636,3.37,0.8947329377,
3.38,0.5695266272,3.38,1.568484848,3.38,0.8932938856,
3.39,0.5678466077,3.39,1.570606061,3.39,0.8918633235,
3.4,0.5661764706,3.4,1.572727273,3.4,0.8904411765,
3.41,0.564516129,3.41,1.574848485,3.41,0.8890273705,
3.42,0.5628654971,3.42,1.576969697,3.42,0.8876218324,
3.43,0.5612244898,3.43,1.579090909,3.43,0.8862244898,
3.44,0.5595930233,3.44,1.581212121,3.44,0.8848352713,
3.45,0.5579710145,3.45,1.583333333,3.45,0.8834541063,
3.46,0.5563583815,3.46,1.585454545,3.46,0.8820809249,
3.47,0.5547550432,3.47,1.587575758,3.47,0.880715658,
3.48,0.5531609195,3.48,1.58969697,3.48,0.8793582375,
3.49,0.5515759312,3.49,1.591818182,3.49,0.878008596,
3.5,0.55,3.5,1.593939394,3.5,0.8766666667,
3.51,0.5484330484,3.51,1.596060606,3.51,0.8753323837,
3.52,0.546875,3.52,1.598181818,3.52,0.8740056818,
3.53,0.545325779,3.53,1.60030303,3.53,0.8726864967,
3.54,0.5437853107,3.54,1.602424242,3.54,0.8713747646,
3.55,0.5422535211,3.55,1.604545455,3.55,0.8700704225,
3.56,0.5407303371,3.56,1.606666667,3.56,0.8687734082,
3.57,0.5392156863,3.57,1.608787879,3.57,0.8674836601,
3.58,0.5377094972,3.58,1.610909091,3.58,0.8662011173,
3.59,0.5362116992,3.59,1.613030303,3.59,0.8649257196,
3.6,0.5347222222,3.6,1.615151515,3.6,0.8636574074,
3.61,0.5332409972,3.61,1.617272727,3.61,0.8623961219,
3.62,0.5317679558,3.62,1.619393939,3.62,0.8611418048,
3.63,0.5303030303,3.63,1.621515152,3.63,0.8598943985,
3.64,0.5288461538,3.64,1.623636364,3.64,0.8586538462,
3.65,0.5273972603,3.65,1.625757576,3.65,0.8574200913,
3.66,0.5259562842,3.66,1.627878788,3.66,0.8561930783,
3.67,0.5245231608,3.67,1.63,3.67,0.854972752,
3.68,0.5230978261,3.68,1.632121212,3.68,0.853759058,
3.69,0.5216802168,3.69,1.634242424,3.69,0.8525519422,
3.7,0.5202702703,3.7,1.636363636,3.7,0.8513513514,
3.71,0.5188679245,3.71,1.638484848,3.71,0.8501572327,
3.72,0.5174731183,3.72,1.640606061,3.72,0.8489695341,
3.73,0.5160857909,3.73,1.642727273,3.73,0.8477882038,
3.74,0.5147058824,3.74,1.644848485,3.74,0.8466131907,
3.75,0.5133333333,3.75,1.646969697,3.75,0.8454444444,
3.76,0.5119680851,3.76,1.649090909,3.76,0.8442819149,
3.77,0.5106100796,3.77,1.651212121,3.77,0.8431255526,
